"Service","StartType","Status"
"AarSvc_1866345","Manual","Stopped"
"ALG","Manual","Stopped"
"AppIDSvc","Manual","Running"
"Appinfo","Manual","Running"
"AppMgmt","Manual","Running"
"AppReadiness","Manual","Stopped"
"AppVClient","Disabled","Stopped"
"AppXSvc","Manual","Stopped"
"ApxSvc","Manual","Stopped"
"AssignedAccessManagerSvc","Manual","Stopped"
"AudioEndpointBuilder","Auto","Running"
"Audiosrv","Auto","Running"
"autotimesvc","Manual","Stopped"
"AxInstSV","Manual","Stopped"
"BcastDVRUserService_1866345","Manual","Stopped"
"BDESVC","Manual","Running"
"BFE","Auto","Running"
"BITS","Manual","Running"
"BluetoothUserService_1866345","Manual","Stopped"
"BrokerInfrastructure","Auto","Running"
"BTAGService","Manual","Stopped"
"BthAvctpSvc","Manual","Stopped"
"bthserv","Manual","Stopped"
"camsvc","Manual","Running"
"CaptureService_1866345","Manual","Stopped"
"cbdhsvc_1866345","Auto","Running"
"CDPSvc","Manual","Stopped"
"CDPUserSvc_1866345","Auto","Stopped"
"CertPropSvc","Manual","Stopped"
"ClipSVC","Manual","Stopped"
"CloudBackupRestoreSvc_1866345","Manual","Stopped"
"cloudidsvc","Manual","Stopped"
"COMSysApp","Manual","Stopped"
"ConsentUxUserSvc_1866345","Manual","Stopped"
"CoreMessagingRegistrar","Auto","Running"
"CredentialEnrollmentManagerUserSvc_1866345","Manual","Stopped"
"CryptSvc","Auto","Running"
"CscService","Manual","Stopped"
"DcomLaunch","Auto","Running"
"dcsvc","Manual","Stopped"
"defragsvc","Manual","Stopped"
"DeviceAssociationBrokerSvc_1866345","Manual","Stopped"
"DeviceAssociationService","Manual","Stopped"
"DeviceInstall","Manual","Stopped"
"DevicePickerUserSvc_1866345","Manual","Stopped"
"DevicesFlowUserSvc_1866345","Manual","Running"
"DevQueryBroker","Manual","Stopped"
"Dhcp","Auto","Running"
"diagsvc","Manual","Stopped"
"DiagTrack","Auto","Running"
"DialogBlockingService","Disabled","Stopped"
"DispBrokerDesktopSvc","Auto","Running"
"DisplayEnhancementService","Manual","Running"
"DmEnrollmentSvc","Manual","Stopped"
"dmwappushservice","Manual","Stopped"
"Dnscache","Auto","Running"
"DoSvc","Auto","Stopped"
"dot3svc","Manual","Stopped"
"DPS","Auto","Running"
"DsmSvc","Manual","Running"
"DsSvc","Manual","Running"
"DusmSvc","Auto","Running"
"EapHost","Manual","Stopped"
"edgeupdate","Manual","Stopped"
"edgeupdatem","Manual","Stopped"
"EFS","Manual","Stopped"
"embeddedmode","Manual","Stopped"
"EntAppSvc","Manual","Stopped"
"EventLog","Auto","Running"
"EventSystem","Auto","Running"
"fdPHost","Manual","Stopped"
"FDResPub","Manual","Stopped"
"fhsvc","Manual","Stopped"
"FontCache","Auto","Running"
"FrameServer","Manual","Stopped"
"FrameServerMonitor","Manual","Stopped"
"GameInputSvc","Manual","Stopped"
"gpsvc","Auto","Stopped"
"GraphicsPerfSvc","Manual","Stopped"
"hidserv","Manual","Running"
"HvHost","Manual","Running"
"icssvc","Manual","Stopped"
"IKEEXT","Manual","Stopped"
"InstallService","Manual","Running"
"InventorySvc","Auto","Stopped"
"iphlpsvc","Auto","Running"
"IpxlatCfgSvc","Manual","Stopped"
"KeyIso","Manual","Running"
"KtmRm","Manual","Stopped"
"LanmanServer","Auto","Running"
"LanmanWorkstation","Auto","Running"
"lfsvc","Manual","Running"
"LicenseManager","Manual","Running"
"lltdsvc","Manual","Stopped"
"lmhosts","Manual","Stopped"
"LocalKdc","Auto","Stopped"
"LSM","Auto","Running"
"LxpSvc","Manual","Stopped"
"MapsBroker","Manual","Stopped"
"McpManagementService","Manual","Stopped"
"MessagingService_1866345","Manual","Stopped"
"MicrosoftEdgeElevationService","Manual","Stopped"
"mpssvc","Auto","Running"
"MSDTC","Manual","Stopped"
"MSiSCSI","Manual","Stopped"
"msiserver","Manual","Stopped"
"MsKeyboardFilter","Disabled","Stopped"
"NaturalAuthentication","Manual","Stopped"
"NcaSvc","Manual","Stopped"
"NcbService","Manual","Running"
"NcdAutoSetup","Manual","Stopped"
"Netlogon","Manual","Stopped"
"Netman","Manual","Stopped"
"netprofm","Manual","Running"
"NetSetupSvc","Manual","Stopped"
"NetTcpPortSharing","Disabled","Stopped"
"NgcCtnrSvc","Manual","Stopped"
"NgcSvc","Manual","Stopped"
"NlaSvc","Manual","Stopped"
"NPSMSvc_1866345","Manual","Running"
"nsi","Auto","Running"
"OneSyncSvc_1866345","Auto","Stopped"
"P9RdrService_1866345","Manual","Stopped"
"PcaSvc","Auto","Running"
"PeerDistSvc","Manual","Stopped"
"PenService_1866345","Manual","Stopped"
"perceptionsimulation","Manual","Stopped"
"PerfHost","Manual","Stopped"
"PhoneSvc","Manual","Stopped"
"PimIndexMaintenanceSvc_1866345","Manual","Stopped"
"pla","Manual","Stopped"
"PlugPlay","Manual","Running"
"PolicyAgent","Manual","Stopped"
"Power","Auto","Running"
"PrintDeviceConfigurationService","Manual","Stopped"
"PrintNotify","Manual","Stopped"
"PrintScanBrokerService","Manual","Stopped"
"PrintWorkflowUserSvc_1866345","Manual","Stopped"
"ProfSvc","Auto","Running"
"PushToInstall","Manual","Stopped"
"QWAVE","Manual","Stopped"
"RasAuto","Manual","Stopped"
"RasMan","Manual","Running"
"refsdedupsvc","Manual","Stopped"
"RemoteAccess","Disabled","Stopped"
"RemoteRegistry","Disabled","Stopped"
"RetailDemo","Manual","Stopped"
"RmSvc","Manual","Running"
"RpcEptMapper","Auto","Running"
"RpcLocator","Manual","Stopped"
"RpcSs","Auto","Running"
"SamSs","Auto","Running"
"SCardSvr","Manual","Stopped"
"ScDeviceEnum","Manual","Stopped"
"Schedule","Auto","Running"
"SCPolicySvc","Manual","Stopped"
"SDRSVC","Manual","Stopped"
"seclogon","Manual","Stopped"
"SecurityHealthService","Manual","Running"
"SEMgrSvc","Manual","Stopped"
"SENS","Auto","Running"
"Sense","Manual","Stopped"
"SensorDataService","Manual","Stopped"
"SensorService","Manual","Stopped"
"SensrSvc","Manual","Stopped"
"SessionEnv","Manual","Stopped"
"SgrmBroker","Disabled","Stopped"
"SharedAccess","Manual","Stopped"
"ShellHWDetection","Auto","Running"
"shpamsvc","Disabled","Stopped"
"smphost","Manual","Stopped"
"SmsRouter","Manual","Stopped"
"SNMPTrap","Manual","Stopped"
"Spooler","Auto","Running"
"sppsvc","Auto","Stopped"
"SSDPSRV","Manual","Running"
"ssh-agent","Disabled","Stopped"
"SstpSvc","Manual","Running"
"StateRepository","Auto","Running"
"StiSvc","Manual","Stopped"
"StorSvc","Auto","Running"
"svsvc","Manual","Stopped"
"swprv","Manual","Stopped"
"SysMain","Auto","Running"
"SystemEventsBroker","Auto","Running"
"TapiSrv","Manual","Stopped"
"TermService","Manual","Stopped"
"TextInputManagementService","Auto","Running"
"Themes","Manual","Stopped"
"TieringEngineService","Manual","Stopped"
"TimeBrokerSvc","Manual","Running"
"TokenBroker","Manual","Running"
"TrkWks","Auto","Running"
"TroubleshootingSvc","Manual","Stopped"
"TrustedInstaller","Manual","Stopped"
"tzautoupdate","Disabled","Stopped"
"UdkUserSvc_1866345","Manual","Running"
"UevAgentService","Disabled","Stopped"
"UmRdpService","Manual","Stopped"
"UnistoreSvc_1866345","Manual","Stopped"
"upnphost","Manual","Stopped"
"UserDataSvc_1866345","Manual","Stopped"
"UserManager","Auto","Running"
"UsoSvc","Manual","Stopped"
"VaultSvc","Manual","Running"
"vds","Manual","Stopped"
"vmicguestinterface","Manual","Stopped"
"vmicheartbeat","Manual","Stopped"
"vmickvpexchange","Manual","Stopped"
"vmicrdv","Manual","Stopped"
"vmicshutdown","Manual","Stopped"
"vmictimesync","Manual","Stopped"
"vmicvmsession","Manual","Stopped"
"vmicvss","Manual","Stopped"
"VSS","Manual","Stopped"
"W32Time","Manual","Stopped"
"WaaSMedicSvc","Manual","Stopped"
"WalletService","Manual","Stopped"
"WarpJITSvc","Manual","Stopped"
"wbengine","Manual","Stopped"
"WbioSrvc","Manual","Stopped"
"Wcmsvc","Auto","Running"
"wcncsvc","Manual","Stopped"
"WdiServiceHost","Manual","Stopped"
"WdiSystemHost","Manual","Stopped"
"WdNisSvc","Manual","Running"
"WebClient","Manual","Stopped"
"webthreatdefsvc","Manual","Running"
"webthreatdefusersvc_1866345","Auto","Running"
"Wecsvc","Manual","Stopped"
"WEPHOSTSVC","Manual","Stopped"
"wercplsupport","Manual","Stopped"
"WerSvc","Manual","Stopped"
"WFDSConMgrSvc","Manual","Stopped"
"WiaRpc","Manual","Stopped"
"WinDefend","Auto","Running"
"WinHttpAutoProxySvc","Manual","Running"
"Winmgmt","Auto","Running"
"WinRM","Manual","Stopped"
"wisvc","Manual","Stopped"
"WlanSvc","Manual","Stopped"
"wlidsvc","Manual","Stopped"
"wlpasvc","Manual","Stopped"
"WManSvc","Manual","Stopped"
"wmiApSrv","Manual","Stopped"
"WMPNetworkSvc","Manual","Stopped"
"workfolderssvc","Manual","Stopped"
"WpcMonSvc","Manual","Stopped"
"WPDBusEnum","Manual","Stopped"
"WpnService","Auto","Running"
"WpnUserService_1866345","Auto","Stopped"
"wscsvc","Auto","Running"
"WSearch","Manual","Stopped"
"wuauserv","Manual","Stopped"
"WwanSvc","Manual","Stopped"
"XblAuthManager","Manual","Stopped"
"XblGameSave","Manual","Stopped"
"XboxGipSvc","Manual","Stopped"
"XboxNetApiSvc","Manual","Stopped"
